StudyID,Authors,Title,Journal,Abstract,Year,DOI,Included,Methods,Obs_exp,Species,Order,Class,Methods_subgroup,n_indiv,Spatial_area_sqkm,Days_obs_per_indiv,Fixes_per_indiv,Temporal_range,Stage,Indiv_ID,Primary_alt_behav,Keywords,Notes,Assumptions
Zhang_2015,"Zhang, Jindong; Hull, Vanessa; Huang, Jinyan; Zhou, Shiqiang; Xu, Weihua; Yang, Hongbo; McConnell, William J.; Li, Rengui; Liu, Dian; Huang, Yan; Ouyang, Zhiyun; Zhang, Hemin; Liu, Jianguo",Activity patterns of the giant panda (Ailuropoda melanoleuca),JOURNAL OF MAMMALOGY,"One of the most fundamental questions in animal ecology concerns the activity patterns of animals and the environmental and intrinsic factors that influence such dynamics. Activity patterns of the elusive and endangered giant panda (Ailuropoda melanoleuca) are not well understood. Using GPS collars equipped with dual-axis accelerometers on captive and wild giant pandas for the first time, we investigated the impact of day, season, and weather on wild panda activity in Wolong Nature Reserve, Sichuan, China. Most pandas were not crepuscular as previously reported but had 3 apparent activity peaks, in the morning, afternoon, and around midnight. We found a peak in panda activity in June, then an apparent decrease in August and September, followed by an increase again from November to March of the following year. Activity patterns roughly corresponded to mean daily movement distances across seasons and movement behavior in a GPS-collared captive panda (studied to establish a baseline for interpreting collar-recorded activity of wild pandas). There was greater activity in times of higher solar radiation throughout every season, especially under cold conditions. This result suggests the potential for climate change to impact panda behavior in ways not previously reported. Our analysis also suggests that pandas may be constrained by tight energy budgets from their low-nutrient diet and may adjust their energy budgets by modifying their activity time and level across seasons. Our study has implications for understanding animal activity patterns across species, particularly relationships among forage, weather, and energy expenditure over time.",2015,10.1093/jmammal/gyv118,yes,accelerometer_remote,obs,Ailuropoda_melanoleuca,carnivore,mammal,"GPS, axy",5,40,,93934.4,726,A,yes,ethogram,"accelerometer, validation","used a captive panda to truth the axy data into behaviours, but ""foraging"" wasn't a behaviour type, only moving vs. feeding",
Zhang_2017,"Zhang, Jindong; Hull, Vanessa; Ouyang, Zhiyun; He, Liang; Connor, Thomas; Yang, Hongbo; Huang, Jinyan; Zhou, Shiqiang; Zhang, Zejun; Zhou, Caiquan; Zhang, Hemin; Liu, Jianguo",Modeling activity patterns of wildlife using time-series analysis,ECOLOGY AND EVOLUTION,"The study of wildlife activity patterns is an effective approach to understanding fundamental ecological and evolutionary processes. However, traditional statistical approaches used to conduct quantitative analysis have thus far had limited success in revealing underlying mechanisms driving activity patterns. Here, we combine wavelet analysis, a type of frequency-based time-series analysis, with high-resolution activity data from accelerometers embedded in GPS collars to explore the effects of internal states (e.g., pregnancy) and external factors (e.g., seasonal dynamics of resources and weather) on activity patterns of the endangered giant panda (Ailuropoda melanoleuca). Giant pandas exhibited higher frequency cycles during the winter when resources (e.g., water and forage) were relatively poor, as well as during spring, which includes the giant panda's mating season. During the summer and autumn when resources were abundant, pandas exhibited a regular activity pattern with activity peaks every 24hr. A pregnant individual showed distinct differences in her activity pattern from other giant pandas for several months following parturition. These results indicate that animals adjust activity cycles to adapt to seasonal variation of the resources and unique physiological periods. Wavelet coherency analysis also verified the synchronization of giant panda activity level with air temperature and solar radiation at the 24-hr band. Our study also shows that wavelet analysis is an effective tool for analyzing high-resolution activity pattern data and its relationship to internal and external states, an approach that has the potential to inform wildlife conservation and management across species.",2017,10.1002/ece3.2873,yes,accelerometer,obs,Ailuropoda_melanoleuca,carnivore,mammal,"GPS, axy",5,45,,107481.6,373.2,BC,yes,resting,activity,"axys measuring activity throughout the day, turned out to correlate with weather",
Gharnit_2020,"Gharnit, Elouana; Bergeron, Patrick; Garant, Dany; Reale, Denis",Exploration profiles drive activity patterns and temporal niche specialization in a wild rodent,BEHAVIORAL ECOLOGY,"Individual niche specialization can have important consequences for competition, fitness, and, ultimately, population dynamics and ecological speciation. The temporal window and the level of daily activity are niche components that may vary with sex, breeding season, food supply, population density, and predator's circadian rhythm. More recently, ecologists emphasized that traits such as dispersal and space use could depend on personality differences. Boldness and exploration have been shown to correlate with variation in foraging patterns, habitat use, and home range. Here, we assessed the link between exploration, measured from repeated novel environment tests, activity patterns, and temporal niche specialization in wild eastern chipmunks (Tamias striatus). Intrinsic differences in exploration should drive daily activity patterns through differences in energy requirements, space use, or the speed to access resources. We used collar-mounted accelerometers to assess whether individual exploration profiles predicted: 1) daily overall dynamic body acceleration, reflecting overall activity levels; 2) mean activity duration and the rate of activity sequences, reflecting the structure of daily activity; and 3) patterns of dawn and dusk activity, reflecting temporal niche differentiation. Exploration and overall activity levels were weakly related. However, both dawn activity and rate of activity sequences increased with the speed of exploration. Overall, activity patterns varied according to temporal variability in food conditions. This study emphasizes the role of intrinsic behavioral differences in activity patterns in a wild animal population. Future studies will help us understand how yearly seasonality in reproduction, food abundance, and population density modulate personality-dependent foraging patterns and temporal niche specialization.",2020,10.1093/beheco/araa022,yes,accelerometer,obs,Tamias_striatus,rodent,mammal,axy,36,0.1568,19.33333333,,693,B,yes,resting,"activity, circadian","not foraging precisely, but activity throughout the day & between yearscorrelated w/ food availability",
Nad'o_2019,"Nad'o, Ladislav; Lobbova, Denisa; Hapl, Ervin; Cel'uch, Martin; Uhrin, Marcel; Sara, Michal; Kanuch, Peter",Highly selective roosting of the giant noctule bat and its astonishing foraging activity by GPS tracking in a mountain environment,MAMMAL RESEARCH,"The giant noctule, Nyctalus lasiopterus, is the largest and one of the least studied bat species in Europe with decreasing population trend. Due to its rarity, knowledge about its ecology and spatiotemporal activity is very fragmented. During two late-summer seasons, nine individuals were tracked using either radio-transmitters or GPS devices in an isolated population breeding in the Muranska planina Mts (Carpathians, Slovakia), which is an area characterized by distinct mountain landscape considerably different from the main species range. The bats roosted exclusively in mature aspen trees, Populus tremula, with decayed heartwood (n = 20 cavities in 18 trees) and located in sparse unmanaged natural mixed forests. Using GPS tracking technology (15-23 nights for each of three females), we found that the bats have large foraging home ranges (on average a minimum convex polygon 430 km(2), average of 95% kernel density estimate of 361 km(2)) and had long foraging transits (up to similar to 130 km) with large distance from the roosting area (up to similar to 49 km). The bats foraged at altitudes from 1013 to 1308 m a.s.l. (max 2666 m a.s.l.), and from 124 to 367 m (max 1659 m) above ground. Novel information about roosting ecology and the spatiotemporal foraging patterns in a mountain environment is very important for conservation of this enigmatic bat in Central Europe.",2019,10.1007/s13364-019-00446-1,yes,telem,obs,Nyctalus_lasiopterus,bat,mammal,"GPS, radio_triang",9,430,,97.33333333,19,C,yes,resting,"activity, inferred_foraging",assume out of roost = foraging,
Graf_2016,"Graf, Patricia M.; Mayer, Martin; Zedrosser, Andreas; Hacklaender, Klaus; Rosell, Frank",Territory size and age explain movement patterns in the Eurasian beaver,MAMMALIAN BIOLOGY,"Territoriality is only profitable when the benefits gained from territory exploitation exceed the costs of defence, and territory sizes are usually optimized by time constraints related to resource defence (e.g. patrolling) and exploitation. In this study, we equipped 25 dominant Eurasian beavers (Castor fiber) with GPS units to study spatial movement patterns both on land and in water in relation to territory size, resource availability, the number of neighbours, season, and the beavers' age. We show a territory size dependent trade-off between territorial behaviours and foraging distances: Beavers in larger territories moved greater distances each night, thereby spending more time patrolling, and stayed closer to the shoreline when being on land (i.e. when foraging). Inversely, in smaller territories beavers patrolled less and foraged further away from the shoreline. These results suggest that individuals trade-off the costs of patrolling larger territories against the benefits of foraging closer towards the shoreline. Smaller territories might be more prone to resource depletion, thus, making foraging further from the shoreline a strategy to ensure sustainable resource use. Further, older beavers spent more time on land and close to territory borders compared to younger ones, suggesting a behavioural change with age possibly due to increased experience and boldness. (C) 2016 Deutsche Gesellschaft flir Saugetierkunde. Published by Elsevier GmbH. All rights reserved.",2016,10.1016/j.mambio.2016.07.046,yes,remote,obs,Castor_fiber,rodent,mammal,GPS,25,30.175,,356,11,BC,yes,resting,"activity, inferred_foraging, movement, social",movements on land assumed to be foraging,
Traill_2016,"Traill, L. W.; Martin, J.; Owen-Smith, N.","Lion proximity, not moon phase, affects the nocturnal movement behaviour of zebra and wildebeest",JOURNAL OF ZOOLOGY,"Moon phase affects nocturnal activity patterns in mammals. Among ungulates, a number of studies have found animals to be more active over full moon nights. This may be because increased luminosity provides increased opportunity to forage and/or increased ability to detect predators; known as the visual acuity hypothesis. Here, we use GPS-derived movement data to test for the influence of moon phase on plains zebra Equus quagga and blue wildebeest Connochaetes taurinus activity in Kruger National Park, South Africa. We compare animal movement (rate and displacement) over full and new moon nights, and consider the effect of lion proximity. We found that lion proximity largely determined the nocturnal movements of zebra and wildebeest, not moon phase. When lions were >1km away, there was no difference in the nocturnal movement activity of prey animals over full and new moon conditions, contradicting previous findings. When lions were within 1km of these animals, however, the movement of zebra and wildebeest greatly increased over the new moon, the relatively dark period when lion were most likely hunting. Although we could not explicitly test for predator detection here, our findings suggest that the visual acuity hypothesis does not hold for zebra and wildebeest in Kruger National Park (KNP) given that there is no evidence for increased foraging activity over the full moon. The influence of moon phase on the nocturnal activity of African ungulates may be more complicated than anticipated, and we suggest that this cannot be estimated unless predator proximity is accounted for.",2016,10.1111/jzo.12343,yes,remote,obs,"Equus_quagga, Connochaetes_taurinus",ungulate,mammal,GPS,11,n/a,,789.4545455,468,C,yes,movement,"activity, movement, inferred_foraging","nocturnal movements assumed to be foraging, and those don't change with moonlight",
McGrath_2018,"McGrath, Diana J.; Terhune, Theron M., II; Martin, James A.",Northern bobwhite foraging response to hunting,JOURNAL OF WILDLIFE MANAGEMENT,"Prey species must consistently balance the need for resource acquisition with the threat of predation. This balance is particularly true for gallinaceous birds, such as the northern bobwhite (Colinus virginianus), which are ground foragers and are often exposed to increased predation risk compared to arboreal foragers. We studied how bobwhites might mitigate the threat of human hunting pressure by altering their foraging strategy. We directly monitored hunting encounters with bobwhites, during October 2014-March 2015, and collected daily movement paths (n=514) using radio-telemetry. We performed first-passage time analysis to infer foraging behavior by calculating bout frequency, area, duration, and timing. We found bobwhites mitigated exposure to human hunters by increasing foraging frequency coupled with a decrease in duration (15.4%) and area (7.1%) in response to hunting pressure. We observed a temporal shift in foraging away from peak hunting hours by 30minutes when birds were recently exposed to a discharged firearm. Our results imply that hunting game species can disrupt timing of foraging and therefore influence allocation to competing activities such as anti-predator vigilance. We propose implementing a dynamic harvest management regime that distributes hunting activity temporally and spatially to mitigate high hunting pressure and reduce behavioral effects on bobwhites. Careful planning of hunting activity should reduce its additive effects on natural mortality while improving hunter satisfaction. (c) 2018 The Wildlife Society. Northern bobwhites altered their foraging in response to increased levels of hunting pressure in an intensely managed landscape such that bobwhites increased the frequency of foraging but decreased the duration and area foraged. Our results imply that anthropogenic disturbances such as hunting pressure, can lead to disruption of time allocated to foraging; therefore, we suggest distributing the spatial and temporal concentration of hunting evenly throughout the hunting season.",2018,10.1002/jwmg.21451,yes,telem,obs,Colinus_virginianus,galliform,bird,radio_tracking,122,19.57,,88.47540984,150,BC,yes,resting,"activity, social, human_hunting","supplemental feed is scattered on the property, but not by the researchers, that's just a management technique apparently??",
Studd_2019,"Studd, Emily K.; Boudreau, Melanie R.; Majchrzak, Yasmine N.; Menzies, Allyson K.; Peers, Michael J. L.; Seguin, Jacob L.; Lavergne, Sophia G.; Boonstre, Rudy; Murray, Dennis L.; Boutin, Stan; Humphries, Murray M.","Use of Acceleration and Acoustics to Classify Behavior, Generate Time Budgets, and Evaluate Responses to Moonlight in Free-Ranging Snowshoe Hares",FRONTIERS IN ECOLOGY AND EVOLUTION,"Technological miniaturization is driving a biologging revolution that is producing detailed and sophisticated techniques of assessing individual behavioral responses to environmental conditions. Among the many advancements this revolution has brought is an ability to record behavioral responses of nocturnal, free-ranging species. Here, we combine captive validations of acceleration signatures with acoustic recordings from free-ranging individuals to classify behavior at two resolutions. Combining these classifications with similar to 2 month-long recordings, we describe winter time budgets, and responses of free-ranging snowshoe hares to changing moonlight. We successfully classified snowshoe hare behavior into four categories (not moving, foraging, hopping, and sprinting) using low frequency accelerometry, with an overall model accuracy of 88%, and acoustic recordings to three categories (silence, hopping, and chewing) with an accuracy of 94%. Broad-scale accelerometer-classified categories were composed of multiple fine-scale behavioral states with the composition varying between individuals and across the day. Time budgets revealed that hares spent similar to 50% of their time foraging and similar to 50% not moving, with most foraging and feeding occurring at night. We found that hares adjusted timing of activity in response to moon phase, with a 6% reduction in foraging and 30% reduction in traveling during the night when the moon was full. Hares compensated for this lost foraging time by extending foraging into the morning hours of the following day. Using two biologging technologies to identify behavior, we demonstrate the possibility of combining multiple devices when documenting behavior of cryptic species.",2019,10.3389/fevo.2019.00154,yes,accelerometer,obs,Lepus_americanus,lagomorph,mammal,"GPS, axy, audio_logger",14,1,62,,62,ABC,yes,resting,"activity_budget, accelerometer, behavioural_state, ground_truthed",,
Rotics_2017,"Rotics, Shay; Turjeman, Sondra; Kaatz, Michael; Resheff, Yehezkel S.; Zurell, Damaris; Sapir, Nir; Eggers, Ute; Fiedler, Wolfgang; Flack, Andrea; Jeltsch, Florian; Wikelski, Martin; Nathan, Ran",Wintering in Europe instead of Africa enhances juvenile survival in a long-distance migrant,ANIMAL BEHAVIOUR,"Increased human-induced environmental changes and global warming alter bird migration timing and routes. Recently, many Holarctic species, including white storks, Ciconia ciconia, were reported to overwinter at higher latitudes, closer to breeding grounds. We aimed to understand the causes and implications of this phenomenon by examining bird survival and behaviour during overwintering in Europe versus Africa. We compared GPS and body acceleration data of 54 juvenile (first-year) white storks that originated from the same European natal population and overwintered in Europe or Africa. All six juveniles that overwintered in Europe survived through their first year, which was significantly higher than only 38% of the 48 overwintering in the species' traditional grounds in Africa. During overwintering, storks in Europe differed from those in Africa by (1) reducing movement and foraging range, (2) spending less time flying and more time resting, thus using less energy (estimated from overall dynamic body acceleration) and (3) reducing foraging effort, while relying more on anthropogenic resources (landfills and agricultural areas). Timing affected overwintering site as juveniles that overwintered in Europe hatched and started migrating later. We emphasize, however, that late hatching by itself did not yield a survival benefit as not all late juveniles curtailed their migration. We suggest that wintering in Europe was less demanding compared to Africa which may explain the increased survival of juveniles that wintered in Europe. Our findings correspond to the general increase in the European wintering population of white storks, and shed light on the contemporary trend of shortened bird migration; a phenomenon with potentially broad ecological implications. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2017,10.1016/j.anbehav.2017.01.016,yes,accelerometer_remote,obs,Ciconia_ciconia,heron,bird,"GPS, axy",22,27394,,15790.54545,110,BC,yes,resting,"activity_budget, accelerometer, behavioural_state, overwinter",,
Troscianko_2015,"Troscianko, Jolyon; Rutz, Christian",Activity profiles and hook-tool use of New Caledonian crows recorded by bird-borne video cameras,BIOLOGY LETTERS,"New Caledonian crows are renowned for their unusually sophisticated tool behaviour. Despite decades of fieldwork, however, very little is known about how they make and use their foraging tools in the wild, which is largely owing to the difficulties in observing these shy forest birds. To obtain first estimates of activity budgets, as well as close-up observations of tool-assisted foraging, we equipped 19 wild crows with self-developed miniature video cameras, yielding more than 10 h of analysable video footage for 10 subjects. While only four crows used tools during recording sessions, they did so extensively: across all 10 birds, we conservatively estimate that tool-related behaviour occurred in 3% of total observation time, and accounted for 19% of all foraging behaviour. Our video-loggers provided first footage of crows manufacturing, and using, one of their most complex tool types-hooked stick tools-under completely natural foraging conditions. We recorded manufacture from live branches of paperbark (Melaleuca sp.) and another tree species (thought to be Acacia spirorbis), and deployment of tools in a range of contexts, including on the forest floor. Taken together, our video recordings reveal an 'expanded' foraging niche for hooked stick tools, and highlight more generally how crows routinely switch between tool-and bill-assisted foraging.",2015,10.1098/rsbl.2015.0777,yes,audio video,obs,Corvus_moneduloides,passerine,bird,video_logger,10,,0.049583333,,402,AB,yes,ethogram,"activity_budget, animal_borne_video","very nice paper, very thorough",
